transaction_id,customer_id,merchant_id,payment_method_id,transaction_ts,transaction_type,status,currency_code,amount,processing_fee,authorization_code,source_system,updated_at
18,24,48,5,2026-02-15 02:32:00,PAYMENT,APPROVED,USD,1852.68,63.07,AUTH0000000018,PAYMENTS_APP,2026-02-15 02:32:00
19,146,39,1,2025-12-16 05:43:51,PAYMENT,APPROVED,USD,779.78,9.38,AUTH0000000019,PAYMENTS_APP,2025-12-16 05:43:51
20,156,29,4,2025-02-20 02:58:13,PAYMENT,APPROVED,USD,1108.34,17.09,AUTH0000000020,PAYMENTS_APP,2025-02-20 02:58:13
21,152,32,5,2025-04-27 12:34:02,PAYMENT,APPROVED,USD,278.11,6.69,AUTH0000000021,PAYMENTS_APP,2025-04-27 12:34:02
22,55,50,2,2026-02-09 21:49:14,PAYMENT,APPROVED,USD,20.21,0.23,AUTH0000000022,PAYMENTS_APP,2026-02-09 21:49:14
23,98,35,6,2025-05-03 00:16:53,PAYMENT,APPROVED,USD,1867.79,13.03,AUTH0000000023,PAYMENTS_APP,2025-05-03 00:16:53
24,5,30,1,2025-12-29 02:37:27,PAYMENT,APPROVED,USD,2154.55,5.25,AUTH0000000024,PAYMENTS_APP,2025-12-29 02:37:27
25,84,11,5,2026-02-19 23:18:24,PAYMENT,APPROVED,USD,724.5,10.7,AUTH0000000025,PAYMENTS_APP,2026-02-19 23:18:24
26,151,26,5,2026-01-06 03:12:31,PAYMENT,APPROVED,USD,2111.37,19.58,AUTH0000000026,PAYMENTS_APP,2026-01-06 03:12:31
27,163,8,5,2025-12-14 08:04:01,PAYMENT,APPROVED,USD,1948.02,7.01,AUTH0000000027,PAYMENTS_APP,2025-12-14 08:04:01
28,38,16,1,2025-12-24 12:46:59,PAYMENT,PENDING,USD,2395.6,54.97,,PAYMENTS_APP,2025-12-24 12:46:59
29,20,12,6,2025-07-22 06:19:00,PAYMENT,DECLINED,USD,383.02,10.27,,PAYMENTS_APP,2025-07-22 06:19:00
30,145,42,6,2026-05-21 16:53:31,PAYMENT,DECLINED,USD,1899.93,30.9,,PAYMENTS_APP,2026-05-21 16:53:31
31,114,41,3,2025-11-27 22:50:10,PAYMENT,APPROVED,USD,378.24,1.26,AUTH0000000031,PAYMENTS_APP,2025-11-27 22:50:10
32,15,24,3,2025-12-27 18:28:17,PAYMENT,APPROVED,USD,776.71,12.71,AUTH0000000032,PAYMENTS_APP,2025-12-27 18:28:17
33,142,48,1,2025-04-03 22:23:30,PAYMENT,DECLINED,USD,1268.16,21.22,,PAYMENTS_APP,2025-04-03 22:23:30
34,129,10,1,2026-04-06 20:48:48,PAYMENT,PENDING,USD,471.41,10.17,,PAYMENTS_APP,2026-04-06 20:48:48
35,182,29,4,2025-12-18 03:04:13,PAYMENT,DECLINED,USD,1615.67,3.77,,PAYMENTS_APP,2025-12-18 03:04:13
36,73,25,4,2026-06-21 19:01:57,PAYMENT,DECLINED,USD,397.71,5.44,,PAYMENTS_APP,2026-06-21 19:01:57
37,17,22,1,2025-12-13 21:46:06,PAYMENT,APPROVED,USD,1973.28,45.4,AUTH0000000037,PAYMENTS_APP,2025-12-13 21:46:06
38,150,43,2,2025-09-16 23:54:17,PAYMENT,DECLINED,USD,2183.33,26.93,,PAYMENTS_APP,2025-09-16 23:54:17
39,153,46,1,2025-12-25 11:17:42,PAYMENT,PENDING,USD,1746.5,25.02,,PAYMENTS_APP,2025-12-25 11:17:42
40,190,44,5,2026-01-21 23:25:43,PAYMENT,APPROVED,USD,2033.15,48.36,AUTH0000000040,PAYMENTS_APP,2026-01-21 23:25:43
41,55,22,4,2026-06-05 13:10:25,PAYMENT,APPROVED,USD,907.13,6.47,AUTH0000000041,PAYMENTS_APP,2026-06-05 13:10:25
42,198,35,6,2025-06-08 02:48:34,PAYMENT,APPROVED,USD,2111.23,9.37,AUTH0000000042,PAYMENTS_APP,2025-06-08 02:48:34
43,47,45,5,2025-12-11 22:30:06,PAYMENT,APPROVED,USD,1493.52,9.33,AUTH0000000043,PAYMENTS_APP,2025-12-11 22:30:06
44,114,40,3,2026-03-25 01:35:26,PAYMENT,APPROVED,USD,911.38,23.21,AUTH0000000044,PAYMENTS_APP,2026-03-25 01:35:26
45,121,13,3,2025-08-28 19:26:33,PAYMENT,APPROVED,USD,774.36,22.06,AUTH0000000045,PAYMENTS_APP,2025-08-28 19:26:33
46,108,11,2,2026-03-28 16:48:33,PAYMENT,APPROVED,USD,1945.53,35.21,AUTH0000000046,PAYMENTS_APP,2026-03-28 16:48:33
47,27,46,5,2025-09-14 01:53:59,PAYMENT,PENDING,USD,1202.0,16.37,,PAYMENTS_APP,2025-09-14 01:53:59
48,38,28,1,2025-10-19 03:03:13,PAYMENT,APPROVED,USD,682.71,21.7,AUTH0000000048,PAYMENTS_APP,2025-10-19 03:03:13
49,96,16,4,2026-04-07 12:43:40,PAYMENT,APPROVED,USD,1037.83,15.03,AUTH0000000049,PAYMENTS_APP,2026-04-07 12:43:40
50,38,9,1,2025-01-29 11:36:10,PAYMENT,APPROVED,USD,2098.1,48.46,AUTH0000000050,PAYMENTS_APP,2025-01-29 11:36:10
51,5,17,2,2025-05-23 17:04:47,PAYMENT,APPROVED,USD,1538.76,48.93,AUTH0000000051,PAYMENTS_APP,2025-05-23 17:04:47
52,32,4,2,2026-06-25 15:24:36,PAYMENT,APPROVED,USD,1940.66,17.62,AUTH0000000052,PAYMENTS_APP,2026-06-25 15:24:36
53,138,2,6,2026-04-14 02:17:12,PAYMENT,APPROVED,USD,2091.88,37.64,AUTH0000000053,PAYMENTS_APP,2026-04-14 02:17:12
54,147,27,2,2025-05-28 10:36:17,PAYMENT,APPROVED,USD,4.91,0.06,AUTH0000000054,PAYMENTS_APP,2025-05-28 10:36:17
55,130,36,1,2026-01-05 02:27:50,PAYMENT,DECLINED,USD,1360.66,37.74,,PAYMENTS_APP,2026-01-05 02:27:50
56,65,48,1,2026-02-04 17:07:01,PAYMENT,APPROVED,USD,1589.54,54.61,AUTH0000000056,PAYMENTS_APP,2026-02-04 17:07:01
57,194,22,2,2025-09-04 23:55:27,PAYMENT,PENDING,USD,260.06,5.41,,PAYMENTS_APP,2025-09-04 23:55:27
58,119,45,4,2026-07-14 12:19:34,PAYMENT,PENDING,USD,438.55,12.06,,PAYMENTS_APP,2026-07-14 12:19:34
59,76,13,1,2025-05-19 02:17:50,PAYMENT,PENDING,USD,1940.7,32.14,,PAYMENTS_APP,2025-05-19 02:17:50
60,140,31,3,2025-02-12 11:29:25,PAYMENT,APPROVED,USD,1288.94,44.64,AUTH0000000060,PAYMENTS_APP,2025-02-12 11:29:25
61,32,24,4,2025-10-20 12:59:49,PAYMENT,APPROVED,USD,2164.63,26.59,AUTH0000000061,PAYMENTS_APP,2025-10-20 12:59:49
62,133,18,1,2026-01-31 12:20:38,PAYMENT,APPROVED,USD,1241.01,22.23,AUTH0000000062,PAYMENTS_APP,2026-01-31 12:20:38
63,170,19,3,2025-07-04 19:51:36,PAYMENT,APPROVED,USD,803.71,2.99,AUTH0000000063,PAYMENTS_APP,2025-07-04 19:51:36
64,91,40,4,2025-06-20 16:09:43,PAYMENT,APPROVED,USD,1118.38,28.76,AUTH0000000064,PAYMENTS_APP,2025-06-20 16:09:43
65,192,44,2,2025-02-28 02:43:55,PAYMENT,PENDING,USD,1594.14,21.29,,PAYMENTS_APP,2025-02-28 02:43:55
66,18,16,6,2025-05-27 22:07:15,PAYMENT,PENDING,USD,1953.5,4.26,,PAYMENTS_APP,2025-05-27 22:07:15
67,95,24,4,2026-01-28 20:39:09,PAYMENT,APPROVED,USD,1513.13,36.45,AUTH0000000067,PAYMENTS_APP,2026-01-28 20:39:09
68,30,2,6,2026-06-27 13:21:36,PAYMENT,APPROVED,USD,786.65,8.24,AUTH0000000068,PAYMENTS_APP,2026-06-27 13:21:36
69,55,40,3,2026-07-30 04:17:15,PAYMENT,APPROVED,USD,1937.64,48.32,AUTH0000000069,PAYMENTS_APP,2026-07-30 04:17:15
70,183,29,1,2025-07-24 04:27:54,PAYMENT,APPROVED,USD,2132.21,34.9,AUTH0000000070,PAYMENTS_APP,2025-07-24 04:27:54
71,77,11,6,2025-11-24 12:38:57,PAYMENT,PENDING,USD,163.28,3.17,,PAYMENTS_APP,2025-11-24 12:38:57
72,36,16,4,2025-06-28 13:09:41,PAYMENT,DECLINED,USD,561.38,19.36,,PAYMENTS_APP,2025-06-28 13:09:41
73,142,9,5,2025-01-27 13:08:23,PAYMENT,DECLINED,USD,1431.12,24.17,,PAYMENTS_APP,2025-01-27 13:08:23
74,123,34,4,2025-03-30 02:23:37,PAYMENT,APPROVED,USD,996.0,25.27,AUTH0000000074,PAYMENTS_APP,2025-03-30 02:23:37
75,175,34,3,2025-03-17 04:33:46,PAYMENT,APPROVED,USD,1606.2,26.18,AUTH0000000075,PAYMENTS_APP,2025-03-17 04:33:46
76,111,33,1,2026-07-19 23:17:39,PAYMENT,DECLINED,USD,455.73,15.43,,PAYMENTS_APP,2026-07-19 23:17:39
77,182,15,3,2025-05-08 18:51:48,PAYMENT,APPROVED,USD,761.01,4.95,AUTH0000000077,PAYMENTS_APP,2025-05-08 18:51:48
78,71,9,6,2025-10-18 02:52:16,PAYMENT,APPROVED,USD,491.56,16.48,AUTH0000000078,PAYMENTS_APP,2025-10-18 02:52:16
79,44,43,5,2026-05-30 23:20:15,PAYMENT,APPROVED,USD,1479.93,30.7,AUTH0000000079,PAYMENTS_APP,2026-05-30 23:20:15
80,198,37,3,2026-08-01 01:29:59,PAYMENT,APPROVED,USD,203.98,6.78,AUTH0000000080,PAYMENTS_APP,2026-08-01 01:29:59
81,140,19,6,2026-03-03 22:30:16,PAYMENT,PENDING,USD,76.68,2.39,,PAYMENTS_APP,2026-03-03 22:30:16
82,177,4,2,2026-05-10 08:54:56,PAYMENT,PENDING,USD,1015.83,16.68,,PAYMENTS_APP,2026-05-10 08:54:56
83,184,21,6,2026-05-11 16:54:35,PAYMENT,APPROVED,USD,851.14,5.01,AUTH0000000083,PAYMENTS_APP,2026-05-11 16:54:35
84,62,30,1,2026-02-13 04:45:39,PAYMENT,APPROVED,USD,1287.94,5.94,AUTH0000000084,PAYMENTS_APP,2026-02-13 04:45:39
85,108,16,2,2025-04-10 01:50:32,PAYMENT,APPROVED,USD,2363.52,71.81,AUTH0000000085,PAYMENTS_APP,2025-04-10 01:50:32
86,128,20,4,2025-11-17 06:54:41,PAYMENT,APPROVED,USD,1246.17,23.05,AUTH0000000086,PAYMENTS_APP,2025-11-17 06:54:41
87,153,42,6,2025-08-09 21:14:20,PAYMENT,APPROVED,USD,122.6,1.3,AUTH0000000087,PAYMENTS_APP,2025-08-09 21:14:20
88,196,26,3,2025-04-21 15:41:22,PAYMENT,APPROVED,USD,2206.26,56.78,AUTH0000000088,PAYMENTS_APP,2025-04-21 15:41:22
89,130,29,5,2026-07-30 07:05:13,PAYMENT,APPROVED,USD,1383.5,4.84,AUTH0000000089,PAYMENTS_APP,2026-07-30 07:05:13
90,87,36,3,2025-05-02 04:41:04,PAYMENT,APPROVED,USD,985.37,27.62,AUTH0000000090,PAYMENTS_APP,2025-05-02 04:41:04
91,183,22,4,2026-06-06 14:36:50,PAYMENT,DECLINED,USD,101.6,0.24,,PAYMENTS_APP,2026-06-06 14:36:50
92,84,40,3,2026-06-16 16:38:18,PAYMENT,APPROVED,USD,1516.05,28.09,AUTH0000000092,PAYMENTS_APP,2026-06-16 16:38:18
93,126,46,5,2025-11-03 21:37:00,PAYMENT,APPROVED,USD,1268.78,23.26,AUTH0000000093,PAYMENTS_APP,2025-11-03 21:37:00
94,79,47,6,2026-01-13 12:03:36,PAYMENT,PENDING,USD,274.9,4.17,,PAYMENTS_APP,2026-01-13 12:03:36
95,148,15,6,2026-05-01 09:40:03,PAYMENT,PENDING,USD,1957.48,53.61,,PAYMENTS_APP,2026-05-01 09:40:03
96,98,10,6,2026-05-07 06:12:29,PAYMENT,DECLINED,USD,1572.93,34.72,,PAYMENTS_APP,2026-05-07 06:12:29
97,5,29,3,2025-09-06 01:08:58,PAYMENT,DECLINED,USD,2370.56,11.23,,PAYMENTS_APP,2025-09-06 01:08:58
98,199,40,4,2026-03-05 05:30:48,PAYMENT,APPROVED,USD,1726.56,25.82,AUTH0000000098,PAYMENTS_APP,2026-03-05 05:30:48
99,170,31,5,2025-03-05 05:01:38,PAYMENT,DECLINED,USD,519.15,6.26,,PAYMENTS_APP,2025-03-05 05:01:38
100,140,23,6,2026-01-21 11:25:24,PAYMENT,APPROVED,USD,1149.7,21.99,AUTH0000000100,PAYMENTS_APP,2026-01-21 11:25:24
101,143,20,2,2025-09-28 22:12:43,PAYMENT,APPROVED,USD,481.47,4.52,AUTH0000000101,PAYMENTS_APP,2025-09-28 22:12:43
102,90,36,6,2025-10-23 07:32:48,PAYMENT,PENDING,USD,1762.77,20.76,,PAYMENTS_APP,2025-10-23 07:32:48
103,102,23,2,2025-05-05 20:52:46,PAYMENT,PENDING,USD,1358.43,42.73,,PAYMENTS_APP,2025-05-05 20:52:46
104,192,31,2,2025-10-22 02:52:38,PAYMENT,APPROVED,USD,2310.1,53.83,AUTH0000000104,PAYMENTS_APP,2025-10-22 02:52:38
105,62,16,1,2026-07-30 09:53:21,PAYMENT,APPROVED,USD,273.96,7.18,AUTH0000000105,PAYMENTS_APP,2026-07-30 09:53:21
106,26,44,2,2025-08-27 01:54:40,PAYMENT,APPROVED,USD,1033.84,26.25,AUTH0000000106,PAYMENTS_APP,2025-08-27 01:54:40
107,83,19,6,2026-05-03 17:23:00,PAYMENT,PENDING,USD,499.44,16.87,,PAYMENTS_APP,2026-05-03 17:23:00
108,10,12,4,2025-04-02 23:44:58,PAYMENT,DECLINED,USD,581.32,15.18,,PAYMENTS_APP,2025-04-02 23:44:58
109,192,19,1,2025-06-30 01:19:23,PAYMENT,APPROVED,USD,1970.11,14.45,AUTH0000000109,PAYMENTS_APP,2025-06-30 01:19:23
110,127,9,5,2025-12-10 10:21:38,PAYMENT,APPROVED,USD,2472.76,48.15,AUTH0000000110,PAYMENTS_APP,2025-12-10 10:21:38
111,184,12,1,2025-04-26 12:02:23,PAYMENT,APPROVED,USD,1828.07,42.12,AUTH0000000111,PAYMENTS_APP,2025-04-26 12:02:23
112,110,33,3,2025-07-17 06:23:22,PAYMENT,DECLINED,USD,2140.51,67.42,,PAYMENTS_APP,2025-07-17 06:23:22
113,123,21,2,2025-03-30 14:35:38,PAYMENT,PENDING,USD,239.37,8.23,,PAYMENTS_APP,2025-03-30 14:35:38
114,3,17,6,2026-04-03 09:43:15,PAYMENT,APPROVED,USD,755.56,19.33,AUTH0000000114,PAYMENTS_APP,2026-04-03 09:43:15
115,181,50,3,2025-05-02 16:56:40,PAYMENT,APPROVED,USD,400.13,9.73,AUTH0000000115,PAYMENTS_APP,2025-05-02 16:56:40
116,123,10,4,2025-10-30 13:22:54,PAYMENT,DECLINED,USD,552.9,18.55,,PAYMENTS_APP,2025-10-30 13:22:54
117,138,43,2,2026-01-18 15:08:25,PAYMENT,PENDING,USD,1373.54,23.36,,PAYMENTS_APP,2026-01-18 15:08:25
118,145,8,1,2025-03-25 19:07:59,PAYMENT,APPROVED,USD,1320.9,17.57,AUTH0000000118,PAYMENTS_APP,2025-03-25 19:07:59
119,134,29,1,2025-07-27 20:51:05,PAYMENT,DECLINED,USD,375.48,4.56,,PAYMENTS_APP,2025-07-27 20:51:05
120,15,30,2,2025-07-30 21:13:54,PAYMENT,APPROVED,USD,228.26,4.19,AUTH0000000120,PAYMENTS_APP,2025-07-30 21:13:54
121,6,26,3,2025-03-01 20:20:42,PAYMENT,APPROVED,USD,1682.25,19.31,AUTH0000000121,PAYMENTS_APP,2025-03-01 20:20:42
122,16,5,4,2025-03-16 01:38:56,PAYMENT,APPROVED,USD,861.98,2.73,AUTH0000000122,PAYMENTS_APP,2025-03-16 01:38:56
123,97,25,1,2026-03-07 13:38:01,PAYMENT,APPROVED,USD,1121.89,36.1,AUTH0000000123,PAYMENTS_APP,2026-03-07 13:38:01
124,138,26,5,2026-07-07 04:50:31,PAYMENT,PENDING,USD,2150.86,10.83,,PAYMENTS_APP,2026-07-07 04:50:31
125,185,35,4,2025-08-17 00:07:35,PAYMENT,APPROVED,USD,2446.25,40.96,AUTH0000000125,PAYMENTS_APP,2025-08-17 00:07:35
126,186,49,1,2025-09-11 16:46:15,PAYMENT,APPROVED,USD,388.65,2.88,AUTH0000000126,PAYMENTS_APP,2025-09-11 16:46:15
127,115,39,6,2025-01-17 08:45:44,PAYMENT,APPROVED,USD,169.16,3.59,AUTH0000000127,PAYMENTS_APP,2025-01-17 08:45:44
128,199,4,2,2025-02-15 14:38:45,PAYMENT,APPROVED,USD,586.61,4.92,AUTH0000000128,PAYMENTS_APP,2025-02-15 14:38:45
129,61,20,2,2025-11-23 21:01:30,PAYMENT,DECLINED,USD,1931.57,55.68,,PAYMENTS_APP,2025-11-23 21:01:30
130,152,48,2,2026-06-18 08:02:52,PAYMENT,APPROVED,USD,751.95,2.31,AUTH0000000130,PAYMENTS_APP,2026-06-18 08:02:52
131,135,21,6,2026-05-23 01:42:25,PAYMENT,APPROVED,USD,2354.02,56.09,AUTH0000000131,PAYMENTS_APP,2026-05-23 01:42:25
132,77,46,2,2026-01-21 06:41:41,PAYMENT,DECLINED,USD,1184.32,35.38,,PAYMENTS_APP,2026-01-21 06:41:41
133,136,9,4,2026-04-20 02:05:52,PAYMENT,DECLINED,USD,1032.28,15.65,,PAYMENTS_APP,2026-04-20 02:05:52
134,116,24,1,2025-09-06 09:17:02,PAYMENT,APPROVED,USD,826.33,3.05,AUTH0000000134,PAYMENTS_APP,2025-09-06 09:17:02
135,19,13,5,2025-02-22 09:46:27,PAYMENT,APPROVED,USD,1684.51,36.22,AUTH0000000135,PAYMENTS_APP,2025-02-22 09:46:27
136,55,13,6,2026-05-06 07:36:19,PAYMENT,APPROVED,USD,758.67,24.21,AUTH0000000136,PAYMENTS_APP,2026-05-06 07:36:19
137,62,36,3,2026-05-06 08:49:57,PAYMENT,PENDING,USD,1511.4,12.02,,PAYMENTS_APP,2026-05-06 08:49:57
138,93,33,4,2026-01-25 16:58:32,PAYMENT,DECLINED,USD,1622.15,18.63,,PAYMENTS_APP,2026-01-25 16:58:32
139,53,24,3,2026-04-23 03:35:24,PAYMENT,PENDING,USD,1174.26,34.7,,PAYMENTS_APP,2026-04-23 03:35:24
140,150,38,6,2026-07-31 08:03:22,PAYMENT,PENDING,USD,365.66,3.61,,PAYMENTS_APP,2026-07-31 08:03:22
141,63,32,5,2025-06-06 07:08:35,PAYMENT,APPROVED,USD,575.82,11.73,AUTH0000000141,PAYMENTS_APP,2025-06-06 07:08:35
142,44,47,3,2025-09-21 17:47:24,PAYMENT,PENDING,USD,1604.59,28.37,,PAYMENTS_APP,2025-09-21 17:47:24
143,165,4,5,2026-07-14 17:46:44,PAYMENT,APPROVED,USD,2292.33,44.55,AUTH0000000143,PAYMENTS_APP,2026-07-14 17:46:44
144,182,10,1,2025-01-07 15:00:53,PAYMENT,APPROVED,USD,2106.52,18.68,AUTH0000000144,PAYMENTS_APP,2025-01-07 15:00:53
145,124,43,4,2025-03-03 22:29:40,PAYMENT,PENDING,USD,1667.22,36.61,,PAYMENTS_APP,2025-03-03 22:29:40
146,71,35,3,2026-06-29 20:05:05,PAYMENT,APPROVED,USD,30.62,0.58,AUTH0000000146,PAYMENTS_APP,2026-06-29 20:05:05
147,159,34,3,2025-07-03 03:53:46,PAYMENT,APPROVED,USD,1311.44,12.06,AUTH0000000147,PAYMENTS_APP,2025-07-03 03:53:46
148,63,45,2,2026-02-11 02:52:37,PAYMENT,APPROVED,USD,2398.29,39.83,AUTH0000000148,PAYMENTS_APP,2026-02-11 02:52:37
149,98,25,5,2025-03-24 23:48:06,PAYMENT,PENDING,USD,1899.21,7.94,,PAYMENTS_APP,2025-03-24 23:48:06
150,85,37,1,2025-01-10 06:14:23,PAYMENT,APPROVED,USD,1250.15,19.69,AUTH0000000150,PAYMENTS_APP,2025-01-10 06:14:23
151,12,5,6,2025-08-24 07:41:50,PAYMENT,PENDING,USD,2219.0,38.09,,PAYMENTS_APP,2025-08-24 07:41:50
152,81,2,2,2026-07-11 20:31:00,PAYMENT,PENDING,USD,83.22,2.71,,PAYMENTS_APP,2026-07-11 20:31:00
153,100,44,5,2026-02-12 02:48:04,PAYMENT,APPROVED,USD,406.96,3.73,AUTH0000000153,PAYMENTS_APP,2026-02-12 02:48:04
154,26,28,2,2025-05-24 02:51:19,PAYMENT,DECLINED,USD,1863.9,23.78,,PAYMENTS_APP,2025-05-24 02:51:19
155,102,50,3,2025-03-19 12:24:02,PAYMENT,DECLINED,USD,1922.75,64.35,,PAYMENTS_APP,2025-03-19 12:24:02
156,59,23,5,2025-01-31 23:05:15,PAYMENT,APPROVED,USD,1959.09,31.97,AUTH0000000156,PAYMENTS_APP,2025-01-31 23:05:15
157,19,6,3,2026-01-25 03:07:12,PAYMENT,DECLINED,USD,739.15,6.93,,PAYMENTS_APP,2026-01-25 03:07:12
158,100,21,3,2025-06-07 13:50:07,PAYMENT,PENDING,USD,1959.94,12.24,,PAYMENTS_APP,2025-06-07 13:50:07
159,34,6,2,2025-01-06 11:13:25,PAYMENT,APPROVED,USD,900.43,9.16,AUTH0000000159,PAYMENTS_APP,2025-01-06 11:13:25
160,24,39,5,2026-06-09 14:51:23,PAYMENT,APPROVED,USD,66.63,0.87,AUTH0000000160,PAYMENTS_APP,2026-06-09 14:51:23
161,144,16,5,2025-01-13 10:37:33,PAYMENT,APPROVED,USD,970.11,3.76,AUTH0000000161,PAYMENTS_APP,2025-01-13 10:37:33
162,17,11,4,2025-06-23 05:03:18,PAYMENT,APPROVED,USD,753.53,13.39,AUTH0000000162,PAYMENTS_APP,2025-06-23 05:03:18
163,127,39,5,2025-03-20 13:08:53,PAYMENT,APPROVED,USD,2360.61,60.22,AUTH0000000163,PAYMENTS_APP,2025-03-20 13:08:53
164,85,29,3,2025-11-08 00:14:47,PAYMENT,APPROVED,USD,831.21,18.36,AUTH0000000164,PAYMENTS_APP,2025-11-08 00:14:47
165,123,21,2,2025-05-20 10:56:18,PAYMENT,APPROVED,USD,1508.42,37.17,AUTH0000000165,PAYMENTS_APP,2025-05-20 10:56:18
166,84,25,3,2025-10-26 23:02:35,PAYMENT,APPROVED,USD,2419.44,66.75,AUTH0000000166,PAYMENTS_APP,2025-10-26 23:02:35
167,175,50,5,2025-04-27 20:31:45,PAYMENT,APPROVED,USD,1480.98,28.96,AUTH0000000167,PAYMENTS_APP,2025-04-27 20:31:45
168,78,16,3,2025-10-26 02:31:04,PAYMENT,APPROVED,USD,1682.77,9.65,AUTH0000000168,PAYMENTS_APP,2025-10-26 02:31:04
169,103,35,5,2026-01-22 02:41:34,PAYMENT,APPROVED,USD,2476.76,42.83,AUTH0000000169,PAYMENTS_APP,2026-01-22 02:41:34
170,138,39,6,2026-03-05 19:47:36,PAYMENT,APPROVED,USD,1977.01,26.14,AUTH0000000170,PAYMENTS_APP,2026-03-05 19:47:36
171,12,37,6,2025-09-12 23:56:33,PAYMENT,PENDING,USD,888.17,20.43,,PAYMENTS_APP,2025-09-12 23:56:33
172,57,33,6,2026-02-14 12:04:23,PAYMENT,APPROVED,USD,265.76,1.16,AUTH0000000172,PAYMENTS_APP,2026-02-14 12:04:23
173,151,45,5,2025-08-15 16:13:49,PAYMENT,APPROVED,USD,978.44,26.67,AUTH0000000173,PAYMENTS_APP,2025-08-15 16:13:49
174,30,47,2,2026-05-10 03:48:23,PAYMENT,APPROVED,USD,1040.52,35.06,AUTH0000000174,PAYMENTS_APP,2026-05-10 03:48:23
175,185,45,4,2025-07-31 18:58:23,PAYMENT,APPROVED,USD,871.4,3.76,AUTH0000000175,PAYMENTS_APP,2025-07-31 18:58:23
176,43,48,2,2025-04-28 00:49:20,PAYMENT,APPROVED,USD,1620.28,38.92,AUTH0000000176,PAYMENTS_APP,2025-04-28 00:49:20
177,104,41,2,2025-12-05 20:23:00,PAYMENT,APPROVED,USD,2396.2,21.29,AUTH0000000177,PAYMENTS_APP,2025-12-05 20:23:00
178,152,28,4,2026-02-10 01:03:46,PAYMENT,PENDING,USD,1535.65,11.84,,PAYMENTS_APP,2026-02-10 01:03:46
179,48,24,3,2025-10-13 02:16:40,PAYMENT,DECLINED,USD,255.28,7.82,,PAYMENTS_APP,2025-10-13 02:16:40
180,136,41,3,2025-07-21 16:39:32,PAYMENT,APPROVED,USD,656.62,19.92,AUTH0000000180,PAYMENTS_APP,2025-07-21 16:39:32
181,173,46,3,2025-04-27 12:40:03,PAYMENT,APPROVED,USD,2113.95,46.49,AUTH0000000181,PAYMENTS_APP,2025-04-27 12:40:03
182,96,45,2,2025-05-18 11:24:09,PAYMENT,APPROVED,USD,597.19,2.97,AUTH0000000182,PAYMENTS_APP,2025-05-18 11:24:09
183,138,45,6,2025-05-22 20:55:40,PAYMENT,APPROVED,USD,1058.17,18.57,AUTH0000000183,PAYMENTS_APP,2025-05-22 20:55:40
