merchant_id,merchant_name,merchant_category,country_code,status,created_at,updated_at
29,Ecommerce Merchant 29,ECOMMERCE,US,ACTIVE,2024-11-24 00:00:00,2026-08-01 00:00:00
30,Healthcare Merchant 30,HEALTHCARE,US,SUSPENDED,2024-01-21 00:00:00,2026-08-01 00:00:00
31,Utilities Merchant 31,UTILITIES,US,SUSPENDED,2024-11-16 00:00:00,2026-08-01 00:00:00
32,Grocery Merchant 32,GROCERY,US,ACTIVE,2024-08-19 00:00:00,2026-08-01 00:00:00
33,Ecommerce Merchant 33,ECOMMERCE,US,ACTIVE,2024-06-27 00:00:00,2026-08-01 00:00:00
34,Entertainment Merchant 34,ENTERTAINMENT,US,ACTIVE,2024-02-10 00:00:00,2026-08-01 00:00:00
35,Restaurant Merchant 35,RESTAURANT,US,ACTIVE,2024-01-22 00:00:00,2026-08-01 00:00:00
36,Ecommerce Merchant 36,ECOMMERCE,US,ACTIVE,2024-12-20 00:00:00,2026-08-01 00:00:00
37,Healthcare Merchant 37,HEALTHCARE,US,ACTIVE,2024-02-05 00:00:00,2026-08-01 00:00:00
38,Ecommerce Merchant 38,ECOMMERCE,US,ACTIVE,2024-01-09 00:00:00,2026-08-01 00:00:00
39,Entertainment Merchant 39,ENTERTAINMENT,US,ACTIVE,2024-11-03 00:00:00,2026-08-01 00:00:00
40,Grocery Merchant 40,GROCERY,US,ACTIVE,2024-12-13 00:00:00,2026-08-01 00:00:00
41,Ecommerce Merchant 41,ECOMMERCE,US,ACTIVE,2024-11-03 00:00:00,2026-08-01 00:00:00
42,Healthcare Merchant 42,HEALTHCARE,US,ACTIVE,2024-04-01 00:00:00,2026-08-01 00:00:00
43,Entertainment Merchant 43,ENTERTAINMENT,US,ACTIVE,2024-05-14 00:00:00,2026-08-01 00:00:00
44,Entertainment Merchant 44,ENTERTAINMENT,US,ACTIVE,2024-03-07 00:00:00,2026-08-01 00:00:00
45,Entertainment Merchant 45,ENTERTAINMENT,US,ACTIVE,2024-02-01 00:00:00,2026-08-01 00:00:00
46,Ecommerce Merchant 46,ECOMMERCE,US,SUSPENDED,2024-02-21 00:00:00,2026-08-01 00:00:00
47,Retail Merchant 47,RETAIL,US,ACTIVE,2024-12-16 00:00:00,2026-08-01 00:00:00
48,Healthcare Merchant 48,HEALTHCARE,US,SUSPENDED,2024-05-19 00:00:00,2026-08-01 00:00:00
49,Healthcare Merchant 49,HEALTHCARE,US,ACTIVE,2024-06-30 00:00:00,2026-08-01 00:00:00
50,Utilities Merchant 50,UTILITIES,US,ACTIVE,2024-03-29 00:00:00,2026-08-01 00:00:00
